sepal length,sepal width,petal length,petal width,Iris
5.5,"(3.6, 4.4]",1.4,"(0.0976, 0.9]",Iris-setosa
4.9,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.2,"(0.0976, 0.9]",Iris-setosa
5.5,"(2.8, 3.6]",1.3,"(0.0976, 0.9]",Iris-setosa
4.9,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
4.4,"(2.8, 3.6]",1.3,"(0.0976, 0.9]",Iris-setosa
5.1,"(2.8, 3.6]",1.5,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.3,"(0.0976, 0.9]",Iris-setosa
4.5,"(1.998, 2.8]",1.3,"(0.0976, 0.9]",Iris-setosa
4.4,"(2.8, 3.6]",1.3,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.6,"(0.0976, 0.9]",Iris-setosa
5.1,"(3.6, 4.4]",1.9,"(0.0976, 0.9]",Iris-setosa
4.8,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
5.1,"(3.6, 4.4]",1.6,"(0.0976, 0.9]",Iris-setosa
4.6,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
5.3,"(3.6, 4.4]",1.5,"(0.0976, 0.9]",Iris-setosa
5,"(2.8, 3.6]",1.4,"(0.0976, 0.9]",Iris-setosa
7,"(2.8, 3.6]",4.7,"(0.9, 1.7]",Iris-versicolor
6.4,"(2.8, 3.6]",4.5,"(0.9, 1.7]",Iris-versicolor
6.9,"(2.8, 3.6]",4.9,"(0.9, 1.7]",Iris-versicolor
5.5,"(1.998, 2.8]",4,"(0.9, 1.7]",Iris-versicolor
6.5,"(1.998, 2.8]",4.6,"(0.9, 1.7]",Iris-versicolor
5.7,"(1.998, 2.8]",4.5,"(0.9, 1.7]",Iris-versicolor
6.3,"(2.8, 3.6]",4.7,"(0.9, 1.7]",Iris-versicolor
4.9,"(1.998, 2.8]",3.3,"(0.9, 1.7]",Iris-versicolor
6.6,"(2.8, 3.6]",4.6,"(0.9, 1.7]",Iris-versicolor
5.2,"(1.998, 2.8]",3.9,"(0.9, 1.7]",Iris-versicolor
5,"(1.998, 2.8]",3.5,"(0.9, 1.7]",Iris-versicolor
5.9,"(2.8, 3.6]",4.2,"(0.9, 1.7]",Iris-versicolor
6,"(1.998, 2.8]",4,"(0.9, 1.7]",Iris-versicolor
6.1,"(2.8, 3.6]",4.7,"(0.9, 1.7]",Iris-versicolor
5.6,"(2.8, 3.6]",3.6,"(0.9, 1.7]",Iris-versicolor
6.7,"(2.8, 3.6]",4.4,"(0.9, 1.7]",Iris-versicolor
5.6,"(2.8, 3.6]",4.5,"(0.9, 1.7]",Iris-versicolor
5.8,"(1.998, 2.8]",4.1,"(0.9, 1.7]",Iris-versicolor
6.2,"(1.998, 2.8]",4.5,"(0.9, 1.7]",Iris-versicolor
5.6,"(1.998, 2.8]",3.9,"(0.9, 1.7]",Iris-versicolor
5.9,"(2.8, 3.6]",4.8,"(1.7, 2.5]",Iris-versicolor
6.1,"(1.998, 2.8]",4,"(0.9, 1.7]",Iris-versicolor
6.3,"(1.998, 2.8]",4.9,"(0.9, 1.7]",Iris-versicolor
6.1,"(1.998, 2.8]",4.7,"(0.9, 1.7]",Iris-versicolor
6.4,"(2.8, 3.6]",4.3,"(0.9, 1.7]",Iris-versicolor
6.6,"(2.8, 3.6]",4.4,"(0.9, 1.7]",Iris-versicolor
6.8,"(1.998, 2.8]",4.8,"(0.9, 1.7]",Iris-versicolor
6.7,"(2.8, 3.6]",5,"(0.9, 1.7]",Iris-versicolor
6,"(2.8, 3.6]",4.5,"(0.9, 1.7]",Iris-versicolor
5.7,"(1.998, 2.8]",3.5,"(0.9, 1.7]",Iris-versicolor
5.5,"(1.998, 2.8]",3.8,"(0.9, 1.7]",Iris-versicolor
5.5,"(1.998, 2.8]",3.7,"(0.9, 1.7]",Iris-versicolor
5.8,"(1.998, 2.8]",3.9,"(0.9, 1.7]",Iris-versicolor
6,"(1.998, 2.8]",5.1,"(0.9, 1.7]",Iris-versicolor
5.4,"(2.8, 3.6]",4.5,"(0.9, 1.7]",Iris-versicolor
6,"(2.8, 3.6]",4.5,"(0.9, 1.7]",Iris-versicolor
6.7,"(2.8, 3.6]",4.7,"(0.9, 1.7]",Iris-versicolor
6.3,"(1.998, 2.8]",4.4,"(0.9, 1.7]",Iris-versicolor
5.6,"(2.8, 3.6]",4.1,"(0.9, 1.7]",Iris-versicolor
5.5,"(1.998, 2.8]",4,"(0.9, 1.7]",Iris-versicolor
5.5,"(1.998, 2.8]",4.4,"(0.9, 1.7]",Iris-versicolor
6.1,"(2.8, 3.6]",4.6,"(0.9, 1.7]",Iris-versicolor
5.8,"(1.998, 2.8]",4,"(0.9, 1.7]",Iris-versicolor
5,"(1.998, 2.8]",3.3,"(0.9, 1.7]",Iris-versicolor
5.6,"(1.998, 2.8]",4.2,"(0.9, 1.7]",Iris-versicolor
5.7,"(2.8, 3.6]",4.2,"(0.9, 1.7]",Iris-versicolor
5.7,"(2.8, 3.6]",4.2,"(0.9, 1.7]",Iris-versicolor
6.2,"(2.8, 3.6]",4.3,"(0.9, 1.7]",Iris-versicolor
5.1,"(1.998, 2.8]",3,"(0.9, 1.7]",Iris-versicolor
5.7,"(1.998, 2.8]",4.1,"(0.9, 1.7]",Iris-versicolor
6.3,"(2.8, 3.6]",6,"(1.7, 2.5]",Iris-virginica
5.8,"(1.998, 2.8]",5.1,"(1.7, 2.5]",Iris-virginica
7.1,"(2.8, 3.6]",5.9,"(1.7, 2.5]",Iris-virginica
6.3,"(2.8, 3.6]",5.6,"(1.7, 2.5]",Iris-virginica
6.5,"(2.8, 3.6]",5.8,"(1.7, 2.5]",Iris-virginica
7.6,"(2.8, 3.6]",6.6,"(1.7, 2.5]",Iris-virginica
4.9,"(1.998, 2.8]",4.5,"(0.9, 1.7]",Iris-virginica
7.3,"(2.8, 3.6]",6.3,"(1.7, 2.5]",Iris-virginica
6.7,"(1.998, 2.8]",5.8,"(1.7, 2.5]",Iris-virginica
7.2,"(2.8, 3.6]",6.1,"(1.7, 2.5]",Iris-virginica
6.5,"(2.8, 3.6]",5.1,"(1.7, 2.5]",Iris-virginica
6.4,"(1.998, 2.8]",5.3,"(1.7, 2.5]",Iris-virginica
6.8,"(2.8, 3.6]",5.5,"(1.7, 2.5]",Iris-virginica
5.7,"(1.998, 2.8]",5,"(1.7, 2.5]",Iris-virginica
5.8,"(1.998, 2.8]",5.1,"(1.7, 2.5]",Iris-virginica
6.4,"(2.8, 3.6]",5.3,"(1.7, 2.5]",Iris-virginica
6.5,"(2.8, 3.6]",5.5,"(1.7, 2.5]",Iris-virginica
7.7,"(3.6, 4.4]",6.7,"(1.7, 2.5]",Iris-virginica
7.7,"(1.998, 2.8]",6.9,"(1.7, 2.5]",Iris-virginica
6,"(1.998, 2.8]",5,"(0.9, 1.7]",Iris-virginica
6.9,"(2.8, 3.6]",5.7,"(1.7, 2.5]",Iris-virginica
5.6,"(1.998, 2.8]",4.9,"(1.7, 2.5]",Iris-virginica
7.7,"(1.998, 2.8]",6.7,"(1.7, 2.5]",Iris-virginica
6.3,"(1.998, 2.8]",4.9,"(1.7, 2.5]",Iris-virginica
6.7,"(2.8, 3.6]",5.7,"(1.7, 2.5]",Iris-virginica
7.2,"(2.8, 3.6]",6,"(1.7, 2.5]",Iris-virginica
6.2,"(1.998, 2.8]",4.8,"(1.7, 2.5]",Iris-virginica
6.1,"(2.8, 3.6]",4.9,"(1.7, 2.5]",Iris-virginica
6.4,"(1.998, 2.8]",5.6,"(1.7, 2.5]",Iris-virginica
7.2,"(2.8, 3.6]",5.8,"(0.9, 1.7]",Iris-virginica
7.4,"(1.998, 2.8]",6.1,"(1.7, 2.5]",Iris-virginica
7.9,"(3.6, 4.4]",6.4,"(1.7, 2.5]",Iris-virginica
6.4,"(1.998, 2.8]",5.6,"(1.7, 2.5]",Iris-virginica
6.3,"(1.998, 2.8]",5.1,"(0.9, 1.7]",Iris-virginica
6.1,"(1.998, 2.8]",5.6,"(0.9, 1.7]",Iris-virginica
7.7,"(2.8, 3.6]",6.1,"(1.7, 2.5]",Iris-virginica
6.3,"(2.8, 3.6]",5.6,"(1.7, 2.5]",Iris-virginica
6.4,"(2.8, 3.6]",5.5,"(1.7, 2.5]",Iris-virginica
6,"(2.8, 3.6]",4.8,"(1.7, 2.5]",Iris-virginica
6.9,"(2.8, 3.6]",5.4,"(1.7, 2.5]",Iris-virginica
6.7,"(2.8, 3.6]",5.6,"(1.7, 2.5]",Iris-virginica
6.9,"(2.8, 3.6]",5.1,"(1.7, 2.5]",Iris-virginica
5.8,"(1.998, 2.8]",5.1,"(1.7, 2.5]",Iris-virginica
6.8,"(2.8, 3.6]",5.9,"(1.7, 2.5]",Iris-virginica
6.7,"(2.8, 3.6]",5.7,"(1.7, 2.5]",Iris-virginica
6.7,"(2.8, 3.6]",5.2,"(1.7, 2.5]",Iris-virginica
6.3,"(1.998, 2.8]",5,"(1.7, 2.5]",Iris-virginica
6.5,"(2.8, 3.6]",5.2,"(1.7, 2.5]",Iris-virginica
6.2,"(2.8, 3.6]",5.4,"(1.7, 2.5]",Iris-virginica
5.9,"(2.8, 3.6]",5.1,"(1.7, 2.5]",Iris-virginica
